id,color,shape,material,size,pattern,origin,use_case,energy
004b,yellow,circle,wood,M,dotted,mountain,stationary,electric
004c,black,hexagon,metal,XL,plaid,coastal,indoor,solar
004d,black,circle,glass,L,striped,urban,outdoor,solar
004e,blue,circle,fabric,XS,striped,coastal,wearable,electric
004f,red,circle,wood,XS,plaid,urban,indoor,solar
0050,black,triangle,glass,L,dotted,urban,indoor,electric
0051,green,hexagon,fabric,XL,dotted,coastal,wearable,electric
0052,red,triangle,metal,S,dotted,urban,indoor,electric
0053,blue,triangle,fabric,L,striped,coastal,wearable,manual
0054,red,hexagon,metal,S,solid,coastal,stationary,manual
0055,blue,square,plastic,S,solid,urban,indoor,electric
0056,yellow,hexagon,wood,L,plaid,urban,wearable,solar
0057,green,hexagon,fabric,XL,dotted,urban,indoor,solar
0058,green,hexagon,metal,L,plaid,urban,stationary,solar
0059,green,hexagon,metal,XS,solid,urban,outdoor,solar
005a,blue,triangle,glass,S,striped,urban,outdoor,solar
005b,yellow,triangle,plastic,M,plaid,mountain,wearable,electric
005c,red,square,metal,XS,plaid,coastal,outdoor,manual
005d,blue,hexagon,plastic,S,solid,mountain,indoor,manual
005e,red,circle,wood,S,dotted,coastal,indoor,electric
005f,red,circle,wood,XS,striped,rural,outdoor,solar
0060,red,triangle,metal,S,striped,rural,wearable,solar
0061,blue,square,wood,M,dotted,rural,stationary,solar
0062,blue,hexagon,glass,XL,striped,mountain,stationary,manual
0063,red,triangle,wood,XS,plaid,urban,stationary,solar
0064,green,hexagon,metal,M,plaid,rural,wearable,manual
0065,black,square,plastic,XS,striped,mountain,indoor,solar
0066,blue,square,glass,XL,striped,mountain,stationary,electric
0067,yellow,square,glass,XL,plaid,coastal,outdoor,solar
0068,red,triangle,fabric,S,plaid,coastal,wearable,electric
0069,black,circle,plastic,M,solid,mountain,stationary,electric
006a,blue,hexagon,plastic,S,solid,mountain,wearable,manual
006b,black,square,fabric,XL,dotted,urban,wearable,manual
006c,green,triangle,glass,L,dotted,coastal,stationary,solar
006d,blue,hexagon,plastic,XS,plaid,urban,wearable,solar
006e,red,triangle,metal,XL,dotted,rural,outdoor,electric
006f,green,hexagon,metal,M,striped,rural,wearable,manual
0070,black,triangle,plastic,XL,striped,urban,wearable,solar
0071,yellow,square,wood,XL,plaid,mountain,wearable,manual
0072,red,circle,wood,XS,striped,mountain,outdoor,manual
0073,blue,square,glass,XS,plaid,rural,outdoor,manual
0074,green,square,glass,XL,striped,urban,indoor,manual
0075,red,triangle,plastic,S,dotted,coastal,stationary,manual
0076,yellow,circle,glass,XS,striped,rural,indoor,solar
0077,yellow,triangle,metal,L,plaid,urban,wearable,electric
0078,yellow,circle,plastic,S,plaid,coastal,indoor,manual
0079,red,square,fabric,L,striped,rural,stationary,solar
007a,yellow,hexagon,fabric,XS,striped,rural,outdoor,solar
007b,red,circle,wood,XL,dotted,mountain,outdoor,solar
007c,blue,hexagon,plastic,L,solid,urban,wearable,solar
007d,yellow,hexagon,wood,M,plaid,coastal,outdoor,electric
007e,red,hexagon,wood,L,striped,rural,indoor,manual
007f,yellow,triangle,fabric,XS,striped,mountain,indoor,manual
0080,yellow,square,fabric,XS,plaid,urban,wearable,electric
0081,black,triangle,wood,S,plaid,rural,outdoor,electric
0082,red,square,glass,S,plaid,coastal,indoor,solar
0083,yellow,triangle,plastic,L,solid,rural,wearable,manual
0084,yellow,circle,metal,XL,dotted,coastal,stationary,solar
0085,yellow,square,metal,S,striped,urban,wearable,solar
0086,blue,square,metal,M,solid,mountain,indoor,electric
0087,yellow,square,metal,XL,dotted,mountain,stationary,solar
0088,yellow,circle,plastic,XL,plaid,rural,stationary,manual
0089,red,circle,metal,XS,striped,mountain,outdoor,solar
008a,blue,circle,plastic,XS,dotted,rural,stationary,electric
008b,red,circle,wood,M,plaid,coastal,stationary,solar
008c,green,triangle,wood,XS,solid,mountain,outdoor,solar
008d,black,hexagon,fabric,XS,striped,mountain,stationary,manual
008e,black,square,wood,XL,striped,coastal,indoor,manual
008f,red,square,plastic,L,plaid,mountain,stationary,electric
0090,red,circle,wood,XS,plaid,rural,outdoor,electric
0091,yellow,triangle,fabric,S,plaid,coastal,wearable,electric
0092,blue,hexagon,wood,L,striped,mountain,wearable,manual
0093,green,circle,fabric,XS,solid,mountain,indoor,manual
0094,yellow,triangle,metal,XS,plaid,urban,outdoor,solar
0095,green,hexagon,fabric,S,striped,mountain,outdoor,solar
0096,green,hexagon,plastic,XS,dotted,urban,wearable,manual
0097,red,circle,metal,XS,solid,rural,outdoor,electric
0098,black,circle,glass,XS,striped,rural,indoor,manual
0099,yellow,triangle,wood,L,dotted,rural,indoor,electric
009a,black,square,wood,S,striped,rural,outdoor,manual
009b,yellow,triangle,metal,S,dotted,urban,wearable,manual
009c,blue,circle,fabric,XL,dotted,mountain,outdoor,electric
009d,yellow,square,plastic,M,plaid,rural,outdoor,manual
009e,yellow,circle,wood,L,plaid,rural,stationary,solar
009f,yellow,square,plastic,M,plaid,urban,outdoor,solar
00a0,red,triangle,glass,S,striped,mountain,outdoor,solar
00a1,black,triangle,plastic,S,solid,urban,wearable,solar
00a2,yellow,square,wood,M,solid,coastal,indoor,electric
00a3,green,triangle,metal,M,striped,coastal,stationary,manual
00a4,yellow,square,metal,XS,dotted,mountain,outdoor,electric
00a5,green,triangle,plastic,XL,solid,urban,wearable,solar
00a6,yellow,circle,fabric,XL,solid,rural,indoor,manual
00a7,yellow,square,wood,XL,plaid,coastal,indoor,solar
00a8,green,hexagon,glass,S,solid,urban,indoor,electric
00a9,yellow,hexagon,fabric,XS,striped,mountain,indoor,electric
00aa,blue,square,metal,XL,striped,rural,wearable,manual
00ab,blue,triangle,glass,M,dotted,rural,outdoor,manual
00ac,black,square,glass,XL,solid,urban,indoor,solar
00ad,green,hexagon,wood,S,striped,rural,outdoor,electric
00ae,blue,hexagon,glass,M,solid,mountain,indoor,manual
00af,green,circle,fabric,M,plaid,rural,outdoor,manual
00b0,black,circle,wood,XL,striped,urban,stationary,solar
00b1,yellow,hexagon,glass,S,dotted,coastal,stationary,solar
00b2,blue,circle,plastic,XS,solid,coastal,outdoor,electric
00b3,yellow,triangle,fabric,XS,plaid,coastal,indoor,solar
00b4,black,hexagon,wood,XS,solid,coastal,wearable,electric
00b5,black,triangle,wood,L,striped,urban,outdoor,solar
00b6,green,square,wood,XS,dotted,mountain,indoor,solar
00b7,yellow,circle,wood,L,solid,rural,wearable,solar
00b8,black,hexagon,glass,L,solid,coastal,stationary,manual
00b9,black,square,fabric,S,plaid,mountain,outdoor,solar
00ba,blue,triangle,wood,L,dotted,mountain,wearable,electric
00bb,red,triangle,plastic,M,dotted,coastal,indoor,electric
00bc,red,triangle,plastic,L,dotted,rural,outdoor,electric
00bd,green,triangle,plastic,M,solid,coastal,wearable,electric
00be,yellow,circle,wood,XS,plaid,mountain,wearable,electric
00bf,black,triangle,fabric,XL,dotted,mountain,stationary,solar
00c0,green,square,glass,XS,plaid,rural,wearable,manual
00c1,green,hexagon,wood,S,striped,urban,wearable,electric
00c2,green,square,fabric,XS,solid,urban,stationary,manual
00c3,black,triangle,plastic,XS,solid,mountain,stationary,electric
00c4,black,triangle,wood,XS,plaid,coastal,outdoor,manual
00c5,green,square,fabric,XS,plaid,rural,outdoor,solar
00c6,green,hexagon,plastic,L,dotted,mountain,wearable,manual
00c7,blue,triangle,wood,L,plaid,rural,indoor,solar
