id,color,shape,material,size,pattern,origin,use_case,energy
0041,yellow,triangle,fabric,M,plaid,coastal,wearable,manual
0042,blue,triangle,metal,XL,dotted,mountain,indoor,solar
0043,green,circle,plastic,M,dotted,urban,indoor,manual
0044,black,triangle,glass,XL,dotted,rural,outdoor,solar
0045,yellow,hexagon,plastic,L,striped,coastal,wearable,electric
0046,green,square,fabric,S,dotted,urban,outdoor,solar
0047,yellow,circle,metal,L,striped,coastal,indoor,electric
0048,green,triangle,metal,XL,striped,mountain,indoor,manual
0049,yellow,hexagon,plastic,XL,dotted,urban,outdoor,manual
004a,black,triangle,plastic,XS,dotted,rural,stationary,solar
004b,yellow,triangle,fabric,XS,dotted,rural,outdoor,solar
004c,yellow,circle,glass,L,dotted,rural,stationary,solar
004d,yellow,hexagon,fabric,S,dotted,mountain,indoor,manual
004e,black,circle,wood,XS,solid,urban,stationary,solar
004f,blue,square,metal,M,dotted,urban,outdoor,electric
0050,black,circle,plastic,L,striped,coastal,indoor,electric
0051,yellow,square,plastic,M,striped,urban,wearable,electric
0052,red,square,fabric,M,striped,mountain,wearable,electric
0053,red,hexagon,glass,M,plaid,mountain,outdoor,electric
0054,black,triangle,metal,M,plaid,mountain,stationary,solar
0055,yellow,triangle,metal,L,striped,mountain,stationary,solar
0056,yellow,circle,fabric,M,solid,mountain,indoor,electric
0057,blue,hexagon,fabric,L,dotted,mountain,wearable,manual
0058,yellow,circle,fabric,XS,striped,rural,outdoor,solar
0059,black,square,metal,XL,solid,coastal,indoor,electric
005a,green,hexagon,fabric,XL,dotted,rural,outdoor,electric
005b,red,circle,fabric,XS,striped,mountain,stationary,solar
005c,blue,square,wood,L,solid,mountain,outdoor,solar
005d,green,hexagon,metal,XL,dotted,rural,wearable,solar
005e,yellow,circle,wood,M,dotted,mountain,stationary,electric
005f,yellow,square,metal,M,solid,urban,wearable,solar
0060,yellow,triangle,glass,S,striped,coastal,stationary,manual
0061,red,circle,metal,XS,striped,coastal,outdoor,manual
0062,red,triangle,glass,S,plaid,rural,outdoor,electric
0063,green,circle,fabric,M,dotted,coastal,stationary,manual
