id,color,shape,material,size,pattern,origin,use_case,energy
00e4,red,circle,glass,M,striped,mountain,wearable,solar
00e5,yellow,hexagon,glass,XS,dotted,urban,outdoor,manual
00e6,yellow,triangle,metal,XL,solid,rural,wearable,manual
00e7,black,circle,glass,XS,striped,rural,indoor,electric
00e8,red,circle,wood,XS,plaid,rural,stationary,manual
00e9,green,hexagon,glass,XL,solid,mountain,indoor,solar
00ea,green,square,metal,S,striped,mountain,indoor,manual
00eb,blue,triangle,metal,XL,striped,urban,stationary,solar
00ec,green,hexagon,metal,XS,solid,coastal,indoor,manual
00ed,green,square,glass,S,dotted,coastal,stationary,manual
00ee,yellow,triangle,fabric,XL,dotted,rural,stationary,manual
00ef,black,triangle,plastic,XL,solid,mountain,outdoor,electric
00f0,black,square,fabric,L,plaid,urban,wearable,electric
00f1,black,hexagon,glass,S,solid,mountain,wearable,electric
00f2,green,triangle,fabric,M,plaid,rural,wearable,electric
00f3,blue,hexagon,plastic,M,striped,rural,stationary,electric
00f4,green,triangle,plastic,M,plaid,mountain,wearable,solar
00f5,yellow,hexagon,plastic,XS,solid,urban,stationary,electric
00f6,yellow,hexagon,wood,XL,dotted,coastal,wearable,solar
00f7,black,triangle,plastic,XS,plaid,rural,wearable,manual
00f8,red,square,fabric,L,plaid,urban,wearable,manual
00f9,black,circle,wood,XS,dotted,urban,wearable,electric
00fa,black,circle,glass,XL,plaid,coastal,wearable,manual
00fb,black,hexagon,wood,XS,striped,rural,stationary,manual
00fc,blue,square,plastic,S,dotted,rural,indoor,solar
00fd,blue,square,plastic,L,plaid,coastal,wearable,manual
00fe,yellow,circle,glass,L,plaid,rural,indoor,electric
00ff,yellow,triangle,glass,M,plaid,coastal,indoor,solar
0100,green,circle,wood,S,striped,rural,stationary,solar
0101,yellow,hexagon,fabric,M,striped,rural,wearable,solar
0102,green,hexagon,glass,M,dotted,coastal,wearable,electric
0103,yellow,hexagon,plastic,L,striped,coastal,outdoor,electric
0104,yellow,circle,fabric,S,dotted,coastal,outdoor,manual
0105,black,square,glass,L,solid,urban,outdoor,solar
0106,yellow,square,plastic,S,dotted,mountain,wearable,electric
0107,yellow,triangle,glass,M,plaid,mountain,stationary,manual
0108,yellow,triangle,wood,M,solid,rural,stationary,electric
0109,green,square,wood,L,solid,rural,outdoor,manual
010a,blue,triangle,wood,S,plaid,rural,outdoor,solar
010b,black,square,fabric,M,solid,mountain,indoor,manual
010c,yellow,hexagon,glass,M,dotted,mountain,stationary,manual
010d,green,triangle,plastic,S,striped,coastal,wearable,manual
010e,blue,hexagon,metal,M,solid,mountain,wearable,solar
010f,black,circle,plastic,L,plaid,coastal,wearable,manual
0110,green,square,glass,XS,dotted,rural,stationary,manual
0111,black,circle,plastic,XS,plaid,coastal,wearable,solar
0112,blue,circle,wood,L,plaid,coastal,indoor,electric
0113,red,triangle,fabric,XS,dotted,urban,outdoor,manual
0114,black,hexagon,fabric,XS,plaid,rural,outdoor,solar
0115,black,circle,glass,M,dotted,rural,indoor,solar
0116,red,hexagon,wood,XS,plaid,rural,stationary,manual
0117,blue,square,metal,M,plaid,coastal,wearable,electric
0118,blue,square,glass,M,striped,mountain,stationary,manual
0119,green,square,wood,XS,dotted,coastal,stationary,manual
011a,black,circle,metal,XS,dotted,coastal,outdoor,electric
011b,black,hexagon,glass,L,plaid,coastal,indoor,solar
011c,blue,triangle,metal,XS,solid,urban,wearable,electric
011d,green,hexagon,wood,S,solid,urban,outdoor,solar
011e,green,triangle,fabric,XL,dotted,rural,wearable,solar
011f,blue,triangle,wood,XL,solid,coastal,indoor,electric
0120,blue,triangle,plastic,S,solid,coastal,wearable,solar
0121,black,hexagon,wood,S,solid,coastal,indoor,electric
0122,yellow,circle,metal,L,dotted,urban,wearable,solar
0123,blue,square,plastic,S,plaid,mountain,stationary,manual
0124,black,square,plastic,S,plaid,urban,indoor,solar
0125,red,square,metal,M,plaid,urban,outdoor,electric
0126,green,square,glass,L,dotted,mountain,stationary,manual
0127,black,square,wood,M,plaid,rural,wearable,electric
0128,yellow,triangle,metal,XL,solid,rural,indoor,solar
0129,red,square,wood,L,plaid,coastal,wearable,solar
012a,green,circle,glass,L,plaid,coastal,wearable,electric
012b,black,square,wood,XS,dotted,mountain,stationary,electric
